idOglasa,cena,stanje,marka,model,godiste,kilometraza,karoserija,gorivo,kubikaza,snagaMotora,menjac,brojVrata,boja,lokacijaProdavca
20065963,31490,"Polovno vozilo","Mercedes Benz","B 180",2021,20529,"Monovolumen (MiniVan)",Benzin,1332,136,"Automatski / poluautomatski ",4,"Crna ","Novi Beograd"
19994768,31090,"Novo vozilo",Nissan,Qashqai,2022,0,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Crvena ",Beograd
18141177,30990,"Novo vozilo",Isuzu,D-Max,2022,2,Pickup,Dizel,1898,163,"Manuelni 6 brzina ",4,"Narandžasta ","Novi Sad"
20005222,30990,"Polovno vozilo",BMW,118,2021,36100,Hečbek,Benzin,1499,136,"Automatski / poluautomatski ",4,"Crna ",Beograd
19330472,30490,"Novo vozilo",Jeep,Compass,2022,0,Džip/SUV,"Hibridni pogon",1468,150,"Automatski / poluautomatski ",4,"Crvena ","Novi Sad"
19399825,30490,"Novo vozilo",Jeep,Compass,2022,0,Džip/SUV,"Hibridni pogon",1469,150,"Automatski / poluautomatski ",4,"Siva ",Beograd
19722448,30390,"Novo vozilo",Hyundai,Tucson,2022,0,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Siva ",Niš
19901900,30270,"Novo vozilo",Renault,Megane,2022,5,Džip/SUV,Benzin,1332,140,"Automatski / poluautomatski ",4,"Bela ",Beograd
19683082,30070,"Novo vozilo",Mazda,CX-30,2022,5,Džip/SUV,Benzin,1998,150,"Manuelni 6 brzina ",4,"Crvena ","Novi Sad"
20046630,30000,"Polovno vozilo",Hyundai,Tucson,2021,18000,Džip/SUV,Benzin,1600,179,"Automatski / poluautomatski ",4,"Bela ",Voždovac
19834331,29999,"Polovno vozilo",Škoda,Octavia,2021,4300,Hečbek,Dizel,1968,150,"Automatski / poluautomatski ",4,"Bela ",Šabac
18055679,29990,"Novo vozilo",Audi,A4,2022,0,Limuzina,Benzin,1984,150,"Manuelni 6 brzina ",4,"Crna ",Beograd
19878823,29990,"Novo vozilo",Subaru,XV,2022,0,Džip/SUV,Benzin,1600,114,"Automatski / poluautomatski ",4,"Siva ","Novi Sad"
19923739,29990,"Polovno vozilo",Peugeot,3008,2021,9576,Džip/SUV,Benzin,1199,131,"Automatski / poluautomatski ",4,"Siva ","Novi Sad"
20062831,29990,"Polovno vozilo","Mercedes Benz","A 180",2021,22613,Hečbek,Benzin,1332,136,"Manuelni 6 brzina ",4,"Crna ","Novi Beograd"
19399438,29970,"Polovno vozilo",Renault,Megane,2022,5,Džip/SUV,Benzin,1332,140,"Automatski / poluautomatski ",4,"Bela ",Beograd
19622728,29900,"Novo vozilo",Nissan,Qashqai,2021,1,Džip/SUV,Benzin,1332,158,"Manuelni 6 brzina ",4,"Crvena ","Novi Beograd"
19707645,29900,"Novo vozilo",Nissan,Qashqai,2022,0,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Bela ","Novi Sad"
19707549,29690,"Novo vozilo",Nissan,Qashqai,2022,0,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Crna ","Novi Sad"
19901042,29600,"Novo vozilo",Nissan,Qashqai,2022,3,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Bordo ","Novi Beograd"
18803249,29539,"Novo vozilo",Kia,pro_cee`d,2021,3,Karavan,Benzin,1482,160,"Manuelni 6 brzina ",4,"Crvena ",Niš
17532501,29500,"Novo vozilo",Isuzu,D-Max,2022,2,Pickup,Dizel,1898,163,"Manuelni 6 brzina ",4,"Bela ","Novi Sad"
18005244,29500,"Novo vozilo",Isuzu,D-Max,2022,2,Pickup,Dizel,1898,163,"Automatski / poluautomatski ",4,"Bela ","Novi Sad"
